"e3.genes"	"sub.genes"	"RCT"	"RCN"	"RCF"	"PCT"	"CNR.CXNR"	"CNR.CXNP"	"CCR.PPI"	"CCP.PPI"	"CNR.PPI"	"WCR"	"WCP"	"WCRP"	"WCPP"	"WCRS"	"WCRPS"	"WCPS"	"WCPPS"	"WCR.paths"	"WCRS.Paths"	"WCP.paths"	"WCPPS.Paths"
"1533"	"FBXW7"	"NRF1"	0.0570456844612203	0.0540989123154439	0.115830115830116	NA	0	NA	0.112485265598919	NA	0.0147058823529412	0.0914300725688107	NA	0.97	NA	0.112007446316114	0.95	0.203748662959486	0.94	"Huntington's disease"	"Ubiquitin mediated proteolysis"	NA	"Ubiquitin mediated proteolysis"
"1534"	"FBXW7"	"TP63"	0.124291378851114	0.334738436691566	0.127413127413127	NA	0.0329193640186614	NA	0.0624446918861614	NA	0.0483284609563382	0.0842158476803318	NA	0.85	NA	0.066648413148169	0.47	0.253495368119745	0.05	"MicroRNAs in cancer"	"Ubiquitin mediated proteolysis"	NA	"Ubiquitin mediated proteolysis"
"1535"	"FBXW7"	"TGIF1"	0.137205394388678	0.0175131071973313	0.0942728442728443	NA	0	NA	0.0599760143904067	NA	0.0376236558274607	0.0837704700523657	NA	0.69	NA	0.0727018742753088	0.98	0.243798240891106	0.93	"TGF-beta signaling pathway"	"Ubiquitin mediated proteolysis"	NA	"Ubiquitin mediated proteolysis"
"1536"	"FBXW7"	"CREB3L1"	-0.170552771410738	-0.320464075051502	-0.227477477477477	NA	0	NA	0.0849850417912179	NA	0	0.103922566502045	NA	0.98	NA	0.079108754792043	0.93	NA	NA	"TNF signaling pathway"	"Ubiquitin mediated proteolysis"	NA	NA
"1537"	"FBXW7"	"CREB3L2"	0.246315780751256	0.33183732550936	0.111325611325611	NA	0.135358922348373	NA	0.076273544361411	NA	0.0169808902702831	0.103922566502045	NA	0.98	NA	0.137568251702381	0.96	0.222388389887677	0.21	"TNF signaling pathway"	"Ubiquitin mediated proteolysis"	NA	"Ubiquitin mediated proteolysis"
"1538"	"FBXW7"	"NR3C1"	0.249011910666584	0.240559412757504	0.0884813384813385	NA	0.0290321501705953	NA	0.086274965248451	NA	0.0563355447859498	0.0596194367167206	NA	0	NA	0.154727524961072	0.99	0.14728699120741	0.15	"Neuroactive ligand-receptor interaction"	"Ubiquitin mediated proteolysis"	NA	"Ubiquitin mediated proteolysis"
"1539"	"FBXW7"	"NCOA3"	0.255620361714092	0.572472687771006	0.22972972972973	NA	0.0112366643743874	NA	0.129083528565899	NA	0.0342806774949623	0.0892767476587986	NA	0.93	NA	0.153165936229117	0.99	0.122653594221081	0.12	"Endocrine resistance"	"Ubiquitin mediated proteolysis"	NA	"Ubiquitin mediated proteolysis"
"1540"	"FBXW7"	"PPARGC1A"	0.0815926354797544	0.484420967119099	0.156370656370656	NA	0.0517934681045887	NA	0.184371379979095	NA	0.0741106809822014	0.100021230257347	NA	0.99	NA	0.063004005918419	0.68	NA	NA	"Insulin resistance"	"Ubiquitin mediated proteolysis"	NA	NA
"1541"	"FBXW7"	"DEK"	0.235305086304904	0.542974709873826	0.202702702702703	NA	0.0690649467909013	NA	0.10244105020718	NA	0.0161600663469046	NA	NA	NA	NA	0.153334764913759	0.98	0.197549010983926	0.22	NA	"Ubiquitin mediated proteolysis"	NA	"Ubiquitin mediated proteolysis"
"1542"	"FBXW7"	"TOP2A"	0.103574954442173	0.237663386926001	0.2001287001287	NA	0	NA	0.122992349429187	NA	0.0446621530803116	0.094978960754591	NA	0.99	NA	0.101390628555856	0.98	0.113191582430496	0.01	"Platinum drug resistance"	"Ubiquitin mediated proteolysis"	NA	"Ubiquitin mediated proteolysis"
"1543"	"FBXW7"	"BRAF"	0.179744307857313	0.43666340725378	0.184684684684685	NA	0.00573397888827402	NA	0.121218960054812	NA	0.0363066705793157	0.116376507216948	NA	1	NA	0.153173963306944	0.96	0.111374210867918	0.87	"Non-small cell lung cancer"	"Ubiquitin mediated proteolysis"	NA	"Ubiquitin mediated proteolysis"
"1544"	"FBXW7"	"MCL1"	0.195886240331511	0.193142545272972	0.164092664092664	NA	0.0363636363636364	NA	0.0887134013681011	NA	0.0475905785268171	0.0925033546559878	NA	0.97	NA	0.0920733023909203	0.99	0.0856615184772322	0.28	"Apoptosis"	"Ubiquitin mediated proteolysis"	NA	"Ubiquitin mediated proteolysis"
"1545"	"FBXW7"	"NF1"	0.200294441137114	0.600205447247167	0.218146718146718	NA	0.0086068067548499	NA	0.114901291495257	NA	0.0235294117647059	0.102430418850654	NA	1	NA	0.211103801891782	0.98	0.215303732709568	0.85	"EGFR tyrosine kinase inhibitor resistance"	"Ubiquitin mediated proteolysis"	NA	"Ubiquitin mediated proteolysis"
"1546"	"FBXW7"	"RCAN1"	0.255300537163113	0.270731239987272	0.169240669240669	NA	0.302765035409749	NA	0.115839428426502	NA	0.0163147116536832	0.092749547279278	NA	0.97	NA	0.0791626631302042	0.91	0.357641142486576	0.97	"Oxytocin signaling pathway"	"Ubiquitin mediated proteolysis"	NA	"Ubiquitin mediated proteolysis"
"1547"	"FBXW7"	"CSF3R"	0.0215509409065179	-0.234726696758003	-0.0916988416988417	NA	0	NA	0.102858016104415	NA	0.0326294233073664	0.0898658924780398	NA	0.96	NA	0.0562258398751253	0.96	NA	NA	"Hematopoietic cell lineage"	"Ubiquitin mediated proteolysis"	NA	NA
"1548"	"FBXW5"	"EPS8"	-0.302528625184144	-0.0248737716149636	-0.00353925353925354	-0.106124357176251	0.347615894011504	0	0.0802574991442708	0.0811513629345457	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1549"	"FBXW5"	"DLC1"	-0.123994606102241	0.111540766837163	0.205920205920206	0.0203130203130203	0.0181727093560531	0	0.0834289435489749	0.896955759680579	0.169790543991204	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1550"	"FBXW8"	"GORASP1"	0.178243990640282	0.323176913746582	0.284427284427284	-0.138802353755625	0.0400012800614433	0.265470412617856	0.108271151668257	0.101161597309721	0.0698430295769578	NA	NA	NA	NA	0.0806499571177088	0.93	0.116320464760932	0	NA	"Ubiquitin mediated proteolysis"	NA	"Ubiquitin mediated proteolysis"
"1551"	"FBXW8"	"IGFBP2"	0.0468036504821231	0.273463371454305	0.0797940797940798	-0.0200761509172724	0	0.053685444727598	0.0697368043754407	0.0202099261850636	0	NA	NA	NA	NA	0.0923030260774811	0.99	0.0945984762646215	0	NA	"Ubiquitin mediated proteolysis"	NA	"Ubiquitin mediated proteolysis"
"1552"	"FBXW8"	"IRS1"	0.248436664476628	0.539351323930845	0.215250965250965	-0.14018691588785	0.238225180186182	0.530883214202073	0.117796607349502	0.0487590376930688	0	0.148700137486993	0.331548666461322	0.96	0.95	0.119374460919818	0.98	0.238698056334455	1	"Non-alcoholic fatty liver disease (NAFLD)"	"Ubiquitin mediated proteolysis"	"Non-alcoholic fatty liver disease (NAFLD)"	"Ubiquitin mediated proteolysis"
"1553"	"FBXW8"	"TBC1D3"	0.156657012330937	0.461882721096362	0.222651222651223	NA	0	NA	0.1281096207266	NA	0.0552157630374233	NA	NA	NA	NA	0.0408586124025372	0.18	NA	NA	NA	"Ubiquitin mediated proteolysis"	NA	NA
"1554"	"FBXW8"	"MAP4K1"	-0.178182208193194	0.311352225724199	-0.055984555984556	-0.0567765567765568	0.0352201112974533	0	0.0926929474717153	0.0981941648831234	0.156173761888606	0.106270423453819	0.280638782200931	0.6	0.04	0.110389633584042	0.43	0.120964303384523	0.11	"MAPK signaling pathway"	"Ubiquitin mediated proteolysis"	"MAPK signaling pathway"	"Ubiquitin mediated proteolysis"
"1555"	"FBXW10"	"CBX5"	0.0660758715464951	0.22171291412787	0.13565049876202	NA	0.0030829855536414	NA	0.115852089799249	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1556"	"FBXW11"	"CEP68"	0.303782747635921	0.72004257715751	0.152509652509653	-0.0166147455867082	0.359090773083137	0.0318302790384359	0.116587369679032	0.159663129171568	0.0194920293896363	NA	NA	NA	NA	0.177576722600652	1	0.287541359638791	0	NA	"Circadian rhythm"	NA	"Shigellosis"
"1557"	"FBXW11"	"RCAN1"	-0.16370052608701	-0.1544280379473	-0.116151866151866	0.0392706872370266	0.00209031269403328	0	0.108237727097897	0.0489761037963374	0.0715161959613279	0.164255213165884	0.107242826574264	0.92	0.73	0.110923372676542	1	0.357641142486576	0.97	"Thyroid hormone signaling pathway"	"Hedgehog signaling pathway"	"Thyroid hormone signaling pathway"	"Ubiquitin mediated proteolysis"
"1558"	"FBXW11"	"PER1"	-0.140439407799314	-0.0096450800884751	-0.0752895752895753	NA	0.0112796502550508	NA	0.0831365645808661	NA	0.0396994222783609	0.195744914511641	0.12561277414001	0.97	0.9	0.10734039247029	0.91	NA	NA	"Circadian rhythm"	"Circadian rhythm"	"Circadian rhythm"	NA
"1559"	"FBXW11"	"PER2"	0.331237053555861	0.0941913565596217	0.115830115830116	-0.0981021117348302	0.268103724342385	0	0.164879439401493	0.0541462188308323	0.100062558654852	0.195744914511641	0.12561277414001	0.97	0.9	0.202465126151888	0.99	0.137673156330639	0.84	"Circadian rhythm"	"Circadian rhythm"	"Circadian rhythm"	"Hedgehog signaling pathway"
"1560"	"FBXW11"	"PDCD4"	0.0158725852933747	-0.187769704678402	-0.00353925353925354	-0.0425752855659398	0.0189615344597949	0.020270385948022	0.302412276061153	0.0919214766197311	0.0510527470242631	0.149528890220057	0.110974482600536	0.47	0.93	0.103481856873328	0.99	0.192638582057195	0.96	"MicroRNAs in cancer"	"Oocyte meiosis"	"MicroRNAs in cancer"	"Circadian rhythm"
"1561"	"FBXW11"	"REST"	0.629010900478496	0.642732327329668	0.232947232947233	0.0236254295532646	0.771202771808094	0	0.165990077637441	0.070235904641023	0.0254346912555263	0.224222415548462	0.121484026275094	0.95	0.98	0.278367786906902	0.98	0.20338721778281	0.92	"Huntington's disease"	"Shigellosis"	"Signaling pathways regulating pluripotency of stem cells"	"Circadian rhythm"
"1562"	"FBXW11"	"CLSPN"	0.255940446006242	0.111315100761291	0.0888030888030888	0.0483943916779738	0.152691438640377	0	0.173894367048748	0.0522167224432847	0.0282466341433016	NA	NA	NA	NA	0.19070562492039	0.98	0.217946529644047	0.99	NA	"Oocyte meiosis"	NA	"Oocyte meiosis"
"1563"	"FBXW11"	"SIPA1L2"	0.178278195950798	0.27845612442717	0.0978120978120978	-0.0141917618553133	0	0.00828372203655081	0.0699031550985549	0.16585034659508	0.0225074568303172	0.137249363223052	0.10902003347799	0.14	0.82	0.0563860422216725	0.99	0.180181062668142	0.98	"Rap1 signaling pathway"	"Circadian rhythm"	"Rap1 signaling pathway"	"Oocyte meiosis"
"1565"	"FBXW11"	"DLG1"	0.372018294570913	0.804385282149769	0.18951093951094	-0.0882658359293873	0.521818831817091	0.00752901911966341	0.157988495800586	0.0999822269615587	0.0291729982995789	0.167617431814144	0.110532015384263	0.97	0.98	0.184305818798527	0.98	0.147331801798006	0.97	"HTLV-I infection"	"Ubiquitin mediated proteolysis"	"HTLV-I infection"	"Hippo signaling pathway"
"1567"	"FBXW11"	"FANCM"	0.475947314410504	0.548207969987827	0.237451737451737	NA	0.699858059255254	NA	0.079006858726088	NA	0.0530661853257919	0.197964665246424	0.120430545540148	1	0.89	0.187303151528445	0.98	NA	NA	"Fanconi anemia pathway"	"Ubiquitin mediated proteolysis"	"Fanconi anemia pathway"	NA
"1568"	"FBXW11"	"FBXO5"	0.0850874477628676	0.10384611867564	0.0653153153153153	-0.158620689655172	0.0577494234699891	0	0.163095249776501	0.0606131909608739	0.0478825292817557	0.157320598171757	0.116978577128375	0.8	0.98	0.179649295742105	1	0.320681245977251	0.83	"Oocyte meiosis"	"Oocyte meiosis"	"Oocyte meiosis"	"Oocyte meiosis"
"1572"	"FBXO2"	"GJB2"	-0.13281715231019	0.3000208771754	0.0891248391248391	NA	0	NA	0.066808867032363	NA	0.0426014322842305	NA	NA	NA	NA	0.0540134204847599	0.23	NA	NA	NA	"Protein processing in endoplasmic reticulum"	NA	NA
"1574"	"FBXO2"	"SIRPA"	0.0253992642721627	-0.0720774032301209	-0.0402187902187902	-0.268951194184839	0.00454545454545455	0.741067861239456	0.0687139990008149	0.067771753968661	0	0.0754177496330989	0.23837667332252	0.38	0.63	0.118145826287189	0.37	0.329794584477043	0.9	"Osteoclast differentiation"	"Ubiquitin mediated proteolysis"	"Osteoclast differentiation"	"Protein processing in endoplasmic reticulum"
"1575"	"FBXO3"	"FBXL12"	-0.28566888703618	-0.547469979099287	-0.284749034749035	0.205524634096063	0.386127365114422	0	0.169177513107436	0.0851060410241988	0.174574312188794	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1576"	"FBXO6"	"ATRN"	-0.333826922774821	-0.511656900317222	-0.25	-0.249221183800623	0.303304994624583	0.25300620835974	0.13128735286972	0.0479143978571851	0.0163956458945988	NA	NA	NA	NA	0.16954187238306	0.98	0.197103058446746	0	NA	"Protein processing in endoplasmic reticulum"	NA	"Protein processing in endoplasmic reticulum"
"1577"	"FBXO6"	"TFRC"	-0.153839888860215	-0.101165777934061	-0.0949163449163449	-0.0799584631360332	0.0250280041117365	0.0374476099933787	0.192022427135053	0.123147592922389	0.0298881288832031	0.159991201843481	0.138016812578891	0.96	0.84	0.123697563614987	0.98	0.128243741606752	0.85	"Phagosome"	"Protein processing in endoplasmic reticulum"	"Phagosome"	"Protein processing in endoplasmic reticulum"
"1579"	"FBXO9"	"TELO2"	-0.0656823538589854	-0.488268828483728	-0.074002574002574	0.135531135531136	0.00763292064095191	0	0.0890870806374748	0.092806185455699	0.0613139339484966	0.0733699403018094	0.106142878733935	0.79	0.83	NA	NA	NA	NA	"Fanconi anemia pathway"	NA	"Fanconi anemia pathway"	NA
"1581"	"FBXO10"	"BCL2"	-0.253237571136662	-0.192804513118394	-0.0685328185328185	NA	0.143291393466887	NA	0.0892416116827342	NA	0.0461265604014442	0.156085397735819	NA	1	NA	NA	NA	NA	NA	"Hedgehog signaling pathway"	NA	NA	NA
"1582"	"FBXO11"	"PRDM1"	0.237569342654753	0.0708886307306727	0.0167310167310167	NA	0.0564534765247978	NA	0.0447714445268423	NA	0.035921060405355	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1583"	"FBXO15"	"ABCB1"	0.260815328132925	0.577711123534174	0.0537323037323037	NA	0	NA	0.0487671446650544	NA	0.109108945117996	0.104924558564881	NA	0.98	NA	NA	NA	NA	NA	"MicroRNAs in cancer"	NA	NA	NA
"1584"	"FBXO18"	"ARF1"	0.155291919427304	0.276912611682392	0.166988416988417	-0.227414330218069	0.0889791211394692	0.544819739203109	0.0940938815045132	0.191001590871433	0.0555555555555556	0.123143315805057	0.225063105747384	0.96	0.9	NA	NA	NA	NA	"Vibrio cholerae infection"	NA	"Legionellosis"	NA
"1585"	"FBXO22"	"KDM4A"	0.0474330078420049	0.26954854158918	-0.0286357786357786	-0.182416060920734	0	0.585315274475303	0.0686435669828715	0.179193745117477	0.074535599249993	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1586"	"FBXO25"	"HAND1"	-0.0563795143002461	0.253401424801112	0.100436990371862	NA	0	NA	0.0332749684640795	NA	0.0227625726802993	0.0447552822808406	NA	0.02	NA	0.0321394227442474	0.42	NA	NA	"Signaling pathways regulating pluripotency of stem cells"	"FoxO signaling pathway"	NA	NA
"1587"	"FBXO25"	"ISL1"	0.00723928172221452	-0.0831295110397682	0.00305736592702061	NA	0	NA	0.0354508650547443	NA	0	0.0447552822808406	NA	0.02	NA	0.0337256477958825	0.18	NA	NA	"Signaling pathways regulating pluripotency of stem cells"	"FoxO signaling pathway"	NA	NA
"1588"	"FBXO25"	"NKX2-5"	0.0467475734113554	-0.220229648959274	0.0204067084500927	NA	0	NA	0.0651557580118338	NA	0.0174580963018832	NA	NA	NA	NA	0.0877960089075534	0.32	NA	NA	NA	"FoxO signaling pathway"	NA	NA
"1589"	"FBXO31"	"PARD6A"	0.274121346999905	0.373345080429039	0.0904118404118404	NA	0.164367349603757	NA	0.116321847266375	NA	0	0.152164207753183	NA	0.98	NA	NA	NA	NA	NA	"Endocytosis"	NA	NA	NA
"1590"	"FBXO32"	"KCNMB1"	0.450888248031242	0.71573291555288	0.33043758043758	NA	0.359756081656314	NA	0.0477573772571315	NA	0	0.0989702091858085	NA	0.98	NA	0.0765038152933806	0.67	NA	NA	"Vascular smooth muscle contraction"	"FoxO signaling pathway"	NA	NA
"1591"	"FBXO40"	"IRS1"	-0.0338412842469695	-0.166397955314981	-0.036258209989675	NA	0	NA	0.0431665847301716	NA	0	0.0501177417583762	NA	0.99	NA	NA	NA	NA	NA	"Aldosterone-regulated sodium reabsorption"	NA	NA	NA
"1592"	"FBXO44"	"UNC13A"	0.0392224843582283	0.200809477868901	-0.0357142857142857	NA	0.0139881151510375	NA	0.0209060502501773	NA	0	0.147783354671488	0.278444025753536	0.84	0.54	NA	NA	NA	NA	"Synaptic vesicle cycle"	NA	"Synaptic vesicle cycle"	NA
"1593"	"SKP2"	"CCNA2"	0.618608935406561	0.154284011601049	0.325611325611326	-0.0585106382978723	0.709014871566349	0	0.195804764578467	0.70932074279825	0.238894315292922	0.285689117953348	0.167742792221221	0.96	0.78	0.309402208563023	0.99	0.202909649232782	0.95	"Cell cycle"	"Cell cycle"	"Hepatitis B"	"Cell cycle"
"1595"	"SKP2"	"TCF3"	0.186196174743795	-0.324174399527221	-0.0598455598455598	0.0549645390070922	0.144006334619842	0	0.184276995498331	0.611976606113551	0.0725005314487447	0.155294209777631	0.159403162404776	0.99	0.67	0.188561166904899	1	0.166908183182785	0.72	"HTLV-I infection"	"Cell cycle"	"HTLV-I infection"	"Ubiquitin mediated proteolysis"
"1596"	"SKP2"	"MEFV"	0.0594997764094982	0.0126288192831898	-0.0382882882882883	NA	0.0187103024197261	NA	0.03099029792378	NA	0	0.124611441835815	0.18808610166499	0.3	0.91	0.17818322965985	0.97	NA	NA	"NOD-like receptor signaling pathway"	"Herpes simplex infection"	"NOD-like receptor signaling pathway"	NA
"1597"	"SKP2"	"PHB"	-0.0783916068128507	-0.497520515241079	-0.0199485199485199	0.138297872340426	0.00720631434474554	0	0.119656576208332	0.147770457848434	0.0644449168433286	NA	NA	NA	NA	0.106537643389684	0.99	0.341564941269756	0.82	NA	"Ubiquitin mediated proteolysis"	NA	"Ubiquitin mediated proteolysis"
"1598"	"SKP2"	"BRCA2"	0.623370823476702	0.42673763290387	0.27027027027027	NA	0.475792260949377	NA	0.211166698978223	NA	0.0803483850341879	0.249544900018688	0.228827658020877	1	0.98	0.245942404827867	0.99	NA	NA	"Fanconi anemia pathway"	"Cell cycle"	"Homologous recombination"	NA
"1599"	"SKP2"	"NBN"	0.345689265307996	0.671493776022323	0.292471042471042	-0.132978723404255	0.168947232523416	0	0.176900301920283	0.15326069676793	0.0839319901845215	0.233803938549471	0.228827658020877	1	0.98	0.182858898538499	0.97	0.27719926352719	0.84	"Homologous recombination"	"Ubiquitin mediated proteolysis"	"Homologous recombination"	"Ubiquitin mediated proteolysis"
"1600"	"SKP2"	"AKT1"	-0.157616537149059	-0.29899319276542	-0.132561132561133	0.00709219858156028	0.029375174531043	0	0.14770499933828	0.134496439859663	0.10645468917615	0.183935526010858	0.194857822409986	0.98	0.98	0.117302590692676	0.96	0.122366985144084	0.98	"Progesterone-mediated oocyte maturation"	"Ubiquitin mediated proteolysis"	"Fc gamma R-mediated phagocytosis"	"FoxO signaling pathway"
"1601"	"SKP2"	"JAK3"	0.147751208830632	-0.151820895153515	-0.0318532818532819	0.238866396761134	0.0278421104709784	0	0.0717184922667119	0.66223764702049	0.0329690236697893	0.155294209777631	0.211407498727207	0.99	0.92	0.220807807732853	0.98	0.140551042604565	0.99	"HTLV-I infection"	"Herpes simplex infection"	"Primary immunodeficiency"	"Viral carcinogenesis"
"1602"	"SKP2"	"SIRT3"	-0.54519714702875	-0.530311016547935	-0.24002574002574	0.0177304964539007	0.381031446596587	0	0.121997709264282	0.081091974099552	0.0510753918455249	0.153066261543595	0.117866810719925	0.92	0.02	0.202762123531042	0.98	0.193562373997481	0.24	"Central carbon metabolism in cancer"	"Cell cycle"	"Central carbon metabolism in cancer"	"Epstein-Barr virus infection"
"1603"	"SKP2"	"BTRC"	-0.239091276564278	0.0608184123915368	-0.106821106821107	NA	0.120331927968322	NA	0.214450723661883	NA	0.16088732719695	0.194401372708001	0.189766367111801	0.96	0.97	0.161421724352008	0.97	NA	NA	"Oocyte meiosis"	"Cell cycle"	"Shigellosis"	NA
"1606"	"BTRC"	"BCL10"	0.056592461870314	0.378120081997007	0.145431145431145	NA	0.00597614304667197	NA	0.137266449128494	NA	0.0642725987670048	0.141029382411458	NA	0.99	NA	0.101047465870463	0.98	0.148155716491756	0.9	"NF-kappa B signaling pathway"	"Ubiquitin mediated proteolysis"	NA	"Oocyte meiosis"
"1607"	"BTRC"	"TRAF3IP2"	-0.170429811375598	0.554028468577596	0.0334620334620335	NA	0	NA	0.163630734929331	NA	0.0637947289504428	NA	NA	NA	NA	0.0726480354040468	0.98	0.15256002921428	0.96	NA	"Hedgehog signaling pathway"	NA	"Circadian rhythm"
"1608"	"BTRC"	"IRAK1"	-0.413812847585058	-0.21801092796395	-0.158622908622909	NA	0.370850323643942	NA	0.256542087587865	NA	0.119629720910916	0.141029382411458	NA	0.99	NA	0.173391489063342	1	0.363071039516664	0.97	"NF-kappa B signaling pathway"	"Hedgehog signaling pathway"	NA	"Ubiquitin mediated proteolysis"
"1609"	"BTRC"	"GLI2"	-0.0486009930250053	0.0947207258810379	-0.0344272844272844	NA	0.00706004509618208	NA	0.0615172314434127	NA	0	0.160002638917845	NA	1	NA	0.146349491423212	1	NA	NA	"Hedgehog signaling pathway"	"Hedgehog signaling pathway"	NA	NA
"1610"	"BTRC"	"GLI3"	0.472860139334126	0.74093764117239	0.38996138996139	NA	0.447806223298989	NA	0.0964084257740762	NA	0.0470620805335012	0.160002638917845	NA	1	NA	0.154449314665699	0.99	0.370400742206938	0.99	"Hedgehog signaling pathway"	"Circadian rhythm"	NA	"Ubiquitin mediated proteolysis"
"1611"	"BTRC"	"YAP1"	0.069007084709732	0.0402152911961786	0.0347490347490347	NA	0.0346050254755287	NA	0.23855640646943	NA	0.103359274063258	0.12281822335419	NA	0.72	NA	0.189184250592958	1	0.135985857411279	1	"Hippo signaling pathway -multiple species"	"Shigellosis"	NA	"Hippo signaling pathway"
"1612"	"BTRC"	"WWTR1"	-0.172993680248653	0.408881816459721	-0.0958815958815959	NA	0.0597868554542416	NA	0.132053320383778	NA	0.0660338179744218	0.12281822335419	NA	0.72	NA	0.152438012495734	0.99	0.188291040045372	0.99	"Hippo signaling pathway -multiple species"	"Shigellosis"	NA	"Hippo signaling pathway"
"1613"	"BTRC"	"HSF1"	-0.341021140229518	-0.348769838833765	-0.195302445302445	NA	0.237466300561657	NA	0.193812387416339	NA	0.0406976744186047	0.114678732206515	NA	0.62	NA	0.177451018921289	0.96	0.222892462608352	0.94	"Legionellosis"	"Circadian rhythm"	NA	"Ubiquitin mediated proteolysis"
"1614"	"BTRC"	"NRF1"	0.00551431076480352	0.538301660284374	0.213963963963964	NA	0.00465620197179719	NA	0.153486656549572	NA	0.0134790966504298	0.138580317086072	NA	0.96	NA	0.118978392350565	0.95	0.203748662959486	0.94	"Huntington's disease"	"Hedgehog signaling pathway"	NA	"Ubiquitin mediated proteolysis"
"1615"	"BTRC"	"NFE2L2"	0.109730384199214	0.293145644661165	0.0421492921492921	NA	0.0169733684958301	NA	0.164271820968733	NA	0.0679282621616019	0.133654023246419	NA	0.97	NA	0.153411781109887	0.97	NA	NA	"Protein processing in endoplasmic reticulum"	"Shigellosis"	NA	NA
